Year,Month,Avg_Temp_C,Total_Precip_mm,Avg_Humidity_%,Avg_WindSpeed_kph,Snowfall_cm
1970,1,15.0,100.6,73.5,14.0,34.9
1970,2,8.6,131.0,63.4,14.0,42.6
1970,3,16.5,81.7,65.3,14.0,27.7
1970,4,25.2,97.1,75.7,21.2,0.0
1970,5,7.7,105.7,72.9,16.1,0.0
1970,6,7.7,73.0,71.1,16.3,0.0
1970,7,25.8,91.7,72.1,18.1,1.5
1970,8,17.7,85.4,73.7,15.7,2.0
1970,9,5.3,87.9,69.3,14.2,0.0
1970,10,15.4,61.8,68.1,14.4,2.8
1970,11,5.4,85.7,73.0,14.8,29.6
1970,12,5.3,99.9,67.1,14.9,50.5
1971,1,12.4,128.5,74.0,17.2,28.6
1971,2,-9.1,113.8,63.5,15.2,64.0
1971,3,-7.2,149.6,77.1,17.2,33.5
1971,4,4.4,62.0,74.4,14.8,0.0
1971,5,-0.1,111.2,73.3,15.2,0.0
1971,6,13.1,90.5,76.9,9.0,0.0
1971,7,0.9,150.7,80.3,17.7,0.6
1971,8,-4.1,60.8,77.1,16.0,0.0
1971,9,24.7,59.8,62.8,18.0,0.7
1971,10,7.7,67.0,65.6,6.3,1.2
1971,11,10.7,21.3,68.9,21.3,21.9
1971,12,-4.2,69.2,72.1,14.6,12.2
1972,1,4.6,62.2,74.6,18.3,16.3
1972,2,11.1,89.5,68.4,11.9,33.8
1972,3,-1.5,95.3,72.9,16.8,50.0
1972,4,13.8,141.3,68.2,11.8,3.8
1972,5,4.0,113.5,68.9,13.1,0.8
1972,6,7.1,67.7,65.0,20.7,1.0
1972,7,4.0,58.0,67.4,14.4,2.4
1972,8,28.5,99.8,65.2,15.7,1.5
1972,9,9.9,45.4,67.1,17.6,2.9
1972,10,-0.6,139.9,77.3,16.5,1.6
1972,11,18.2,120.4,67.3,15.5,13.2
1972,12,-2.2,70.9,85.2,16.1,34.7
1973,1,12.1,33.6,74.5,22.2,23.2
1973,2,-9.6,125.6,72.9,14.8,31.3
1973,3,-3.3,81.6,67.7,15.6,11.7
1973,4,12.0,122.1,75.5,18.2,0.6
1973,5,17.4,37.2,69.1,18.3,0.7
1973,6,11.7,67.0,72.6,18.6,0.0
1973,7,8.8,85.2,84.8,16.9,0.0
1973,8,7.0,86.4,71.5,11.6,1.2
1973,9,-4.8,71.5,77.7,19.9,1.3
1973,10,2.8,103.7,68.5,11.6,0.0
1973,11,5.4,53.0,71.8,15.9,3.7
1973,12,20.6,80.7,80.9,12.7,0.0
1974,1,13.4,88.6,68.9,14.8,2.1
1974,2,-7.6,100.4,81.1,16.0,43.9
1974,3,13.2,106.3,75.5,16.0,16.7
1974,4,6.1,51.3,69.2,16.3,4.6
1974,5,3.2,39.0,75.2,19.8,0.0
1974,6,16.1,123.3,76.9,16.4,2.8
1974,7,20.3,95.0,75.1,14.3,3.0
1974,8,19.3,62.5,64.1,17.9,0.0
1974,9,1.6,131.5,68.4,18.6,3.8
1974,10,6.9,88.5,70.8,11.3,0.5
1974,11,13.3,120.4,71.6,16.8,40.4
1974,12,19.8,87.0,75.1,17.1,33.9
1975,1,5.2,146.8,72.9,14.1,36.7
1975,2,8.1,137.7,65.3,19.1,16.7
1975,3,-1.1,77.5,73.9,14.5,12.7
1975,4,-2.0,114.1,75.1,15.4,0.0
1975,5,18.1,104.4,74.8,14.5,3.6
1975,6,23.6,126.1,77.4,15.0,0.0
1975,7,9.3,56.1,76.2,11.7,3.1
1975,8,20.0,105.6,74.3,10.7,3.3
1975,9,13.6,116.8,71.6,19.8,0.0
1975,10,3.5,32.2,63.7,12.5,0.2
1975,11,13.6,49.5,74.1,12.0,7.9
1975,12,25.4,23.8,73.0,8.5,22.1
1976,1,9.6,76.9,73.4,13.1,14.2
1976,2,25.6,106.5,65.6,11.0,0.0
1976,3,-16.2,130.1,66.6,19.9,23.8
1976,4,18.2,87.2,77.3,18.0,3.8
1976,5,10.9,133.9,71.8,12.9,0.0
1976,6,7.0,43.6,75.4,21.8,0.6
1976,7,10.9,33.9,72.1,17.9,0.0
1976,8,-9.9,83.3,72.1,14.0,0.0
1976,9,7.8,96.5,76.7,7.5,2.9
1976,10,13.6,84.0,69.4,21.9,4.2
1976,11,24.8,23.0,72.5,10.8,21.6
1976,12,4.8,82.3,69.7,10.1,10.6
1977,1,1.9,45.9,69.8,18.1,19.4
1977,2,5.0,105.1,70.5,22.3,41.3
1977,3,19.2,96.0,73.1,19.2,53.3
1977,4,13.3,56.8,69.6,16.7,1.8
1977,5,4.7,69.6,78.3,16.8,0.1
1977,6,15.1,53.2,67.5,17.6,1.0
1977,7,11.0,83.1,71.1,17.3,2.1
1977,8,19.7,113.7,69.8,15.8,1.0
1977,9,3.0,55.4,79.2,15.3,0.1
1977,10,6.7,100.1,73.0,14.8,0.8
1977,11,6.1,69.1,77.2,12.7,18.0
1977,12,-4.6,61.2,64.6,14.2,1.1
1978,1,13.0,81.8,73.3,9.9,32.7
1978,2,12.6,53.9,76.4,14.7,17.0
1978,3,10.1,68.4,72.4,12.0,7.5
1978,4,7.7,49.1,77.3,11.7,0.4
1978,5,-4.2,143.9,69.4,15.5,2.4
1978,6,5.8,86.1,79.0,19.2,0.3
1978,7,6.6,64.0,83.5,17.8,3.3
1978,8,2.0,91.4,70.2,10.3,1.7
1978,9,8.4,81.6,69.8,12.0,0.8
1978,10,14.0,78.4,79.3,17.8,1.9
1978,11,28.9,103.4,79.9,12.1,10.0
1978,12,11.7,107.7,69.4,14.3,29.5
1979,1,12.6,69.1,69.9,16.7,36.5
1979,2,9.3,67.7,70.6,12.1,43.4
1979,3,-9.2,76.7,65.3,15.3,23.5
1979,4,9.7,15.9,67.4,11.0,5.5
1979,5,10.6,39.5,67.0,13.2,2.3
1979,6,34.6,126.0,68.2,16.0,2.0
1979,7,8.1,134.3,71.8,10.2,0.0
1979,8,13.0,77.5,73.2,16.3,0.0
1979,9,9.7,102.3,79.8,14.9,0.0
1979,10,-1.7,94.3,67.0,16.7,0.0
1979,11,21.4,177.4,76.9,15.7,47.4
1979,12,17.5,118.6,70.9,19.1,20.9
1980,1,17.9,81.2,71.8,15.4,24.7
1980,2,0.9,56.3,75.4,13.7,13.8
1980,3,24.0,36.8,66.4,15.4,0.0
1980,4,-4.0,91.1,73.9,16.6,1.5
1980,5,15.9,62.3,72.8,15.1,5.1
1980,6,31.9,42.3,74.5,15.1,0.0
1980,7,0.1,65.6,73.4,12.9,0.0
1980,8,4.3,52.6,84.3,13.0,0.4
1980,9,11.0,135.6,68.8,10.8,3.2
1980,10,5.0,111.4,69.3,20.2,4.9
1980,11,-5.5,84.8,68.9,11.3,36.9
1980,12,10.7,129.4,69.2,12.9,6.2
1981,1,-0.6,87.3,68.8,12.8,29.4
1981,2,14.7,59.2,77.9,17.7,4.7
1981,3,0.8,130.7,79.1,14.1,32.0
1981,4,25.5,101.2,69.1,18.7,0.0
1981,5,2.2,53.9,67.8,13.0,1.5
1981,6,6.8,79.3,74.4,15.8,1.9
1981,7,18.1,58.7,69.2,12.5,3.2
1981,8,-2.3,43.5,75.2,21.4,1.2
1981,9,12.3,112.8,73.0,11.4,1.6
1981,10,23.1,142.3,64.4,15.9,0.2
1981,11,-6.1,43.0,79.7,16.9,9.8
1981,12,11.8,101.9,81.0,16.2,25.9
1982,1,12.6,65.5,68.9,14.4,31.4
1982,2,17.8,70.4,70.1,14.6,35.4
1982,3,-2.4,67.2,73.4,15.1,27.6
1982,4,-3.2,59.1,73.7,14.6,0.9
1982,5,15.2,86.5,75.3,17.9,3.3
1982,6,13.0,60.1,82.1,21.6,0.9
1982,7,12.5,93.1,71.1,13.3,0.0
1982,8,13.5,83.5,68.0,10.9,3.5
1982,9,3.2,77.8,65.1,14.7,0.0
1982,10,12.3,57.8,68.3,22.7,0.0
1982,11,12.9,67.7,71.8,12.6,0.0
1982,12,2.9,107.7,81.0,19.9,9.9
1983,1,28.7,100.0,69.4,20.0,34.3
1983,2,14.7,55.7,73.1,13.3,55.9
1983,3,-1.9,88.0,71.9,16.7,25.3
1983,4,16.6,107.5,77.9,19.9,1.4
1983,5,0.3,34.9,84.6,13.9,0.9
1983,6,17.9,101.3,69.3,14.4,1.6
1983,7,21.6,65.1,69.6,13.3,2.0
1983,8,1.8,102.1,77.2,12.0,2.3
1983,9,19.6,62.1,75.4,13.1,2.1
1983,10,14.1,30.9,81.2,11.3,1.2
1983,11,18.2,36.2,74.9,15.1,26.8
1983,12,29.0,86.4,70.2,12.7,49.4
1984,1,7.5,92.8,75.0,15.7,29.8
1984,2,2.5,57.9,77.5,10.3,21.2
1984,3,1.1,104.2,76.1,16.0,20.6
1984,4,1.8,35.2,74.5,17.5,0.0
1984,5,9.2,83.0,77.3,9.0,2.3
1984,6,13.4,48.7,77.8,16.1,1.4
1984,7,12.8,65.4,78.9,18.7,1.0
1984,8,18.3,86.4,75.2,11.4,0.2
1984,9,10.1,59.2,71.2,20.0,3.2
1984,10,24.5,73.5,72.7,16.3,2.9
1984,11,7.4,115.2,78.0,12.9,18.6
1984,12,37.2,67.7,67.9,14.8,42.2
1985,1,16.3,110.1,73.8,16.7,26.7
1985,2,1.4,51.1,70.0,15.2,3.4
1985,3,-0.7,100.9,72.1,16.6,38.8
1985,4,14.8,128.2,78.4,12.2,2.7
1985,5,7.8,10.9,73.0,15.5,2.9
1985,6,17.1,61.1,72.2,10.8,2.0
1985,7,14.7,102.3,65.2,14.7,2.5
1985,8,9.3,78.9,75.7,12.3,2.0
1985,9,1.5,96.1,75.2,12.8,0.0
1985,10,-5.1,66.9,82.8,18.7,1.9
1985,11,5.5,87.6,70.5,18.3,32.3
1985,12,18.6,80.3,73.1,16.8,12.3
1986,1,12.1,120.0,73.2,11.7,15.3
1986,2,-2.5,92.6,79.9,14.1,40.4
1986,3,11.7,95.1,71.5,18.6,20.0
1986,4,13.9,72.6,73.4,15.4,3.1
1986,5,1.2,70.4,75.0,22.0,0.9
1986,6,11.5,72.0,72.9,16.2,0.0
1986,7,10.6,96.8,69.8,15.6,0.7
1986,8,-1.4,72.4,73.0,14.1,0.0
1986,9,13.6,93.7,77.4,15.4,0.0
1986,10,15.6,147.3,66.9,14.5,0.7
1986,11,20.8,111.1,72.7,17.1,23.8
1986,12,20.5,75.2,68.5,17.9,31.8
1987,1,-3.8,121.0,78.0,12.6,9.1
1987,2,0.6,72.8,64.4,11.0,31.4
1987,3,15.2,23.9,69.2,9.5,22.2
1987,4,15.1,54.8,73.9,16.5,0.0
1987,5,15.2,28.9,79.8,11.7,2.3
1987,6,48.5,74.5,71.7,8.5,2.9
1987,7,15.7,85.6,69.2,16.2,0.0
1987,8,21.4,135.3,81.4,22.5,0.0
1987,9,19.5,94.8,64.8,15.0,0.0
1987,10,16.5,78.4,61.0,17.5,0.0
1987,11,6.8,109.9,74.2,15.2,30.1
1987,12,17.6,18.7,69.5,14.7,20.6
1988,1,2.3,92.1,66.9,17.8,27.5
1988,2,7.6,108.1,75.5,14.1,44.8
1988,3,5.1,40.6,73.2,15.8,9.9
1988,4,10.8,119.3,69.2,16.0,0.0
1988,5,33.1,95.2,65.6,13.0,1.1
1988,6,-8.7,72.5,76.4,18.0,1.6
1988,7,16.9,104.0,75.3,14.5,3.7
1988,8,-6.1,153.1,71.5,12.7,0.0
1988,9,5.3,90.5,81.2,16.6,0.0
1988,10,20.9,92.4,66.6,12.3,1.4
1988,11,10.6,71.2,64.4,15.1,10.0
1988,12,-0.8,59.5,68.5,15.0,17.4
1989,1,2.8,109.9,71.8,18.3,37.6
1989,2,16.8,59.3,73.2,16.4,33.2
1989,3,2.7,87.1,70.8,14.9,21.4
1989,4,12.2,70.7,73.8,17.5,0.0
1989,5,10.5,99.4,65.7,19.2,2.0
1989,6,3.5,95.0,79.2,16.7,2.0
1989,7,31.4,116.1,71.6,15.0,3.1
1989,8,16.3,69.7,77.6,11.1,6.5
1989,9,-10.3,76.9,73.7,11.8,1.8
1989,10,11.9,55.6,74.3,14.1,0.0
1989,11,3.4,71.7,74.8,13.2,40.0
1989,12,18.5,96.3,74.2,14.4,18.5
1990,1,2.1,107.7,75.2,15.2,31.1
1990,2,8.9,57.3,78.6,16.6,24.6
1990,3,15.0,111.1,73.0,14.8,11.4
1990,4,18.7,125.7,75.5,16.5,1.3
1990,5,-2.0,97.4,71.6,15.2,0.0
1990,6,6.7,141.3,79.2,9.1,3.2
1990,7,5.3,61.8,68.6,12.2,1.0
1990,8,3.5,47.7,81.0,14.6,1.0
1990,9,27.7,31.6,71.8,11.4,0.3
1990,10,14.0,129.9,64.8,16.8,1.3
1990,11,-2.6,104.6,72.6,19.6,33.8
1990,12,19.2,83.3,68.6,18.7,17.9
1991,1,31.2,93.4,76.2,14.4,38.1
1991,2,20.3,51.2,68.7,19.5,4.8
1991,3,-5.2,158.4,69.8,15.4,26.9
1991,4,5.2,88.9,62.6,14.0,0.0
1991,5,22.7,88.3,69.7,13.2,0.0
1991,6,2.9,106.8,59.9,14.1,2.7
1991,7,14.4,99.4,64.1,13.8,1.5
1991,8,17.7,91.7,75.8,15.5,1.4
1991,9,0.7,61.3,75.9,15.5,2.7
1991,10,9.4,99.1,74.1,15.0,0.7
1991,11,-22.4,141.5,67.2,16.3,34.5
1991,12,-0.2,125.4,71.8,18.6,41.6
1992,1,7.5,132.8,72.0,17.8,31.1
1992,2,-2.5,69.7,66.2,10.5,21.4
1992,3,26.3,55.3,79.5,7.3,35.1
1992,4,-4.3,81.2,76.4,17.8,0.7
1992,5,5.6,86.7,70.9,10.9,3.8
1992,6,11.3,117.8,72.1,14.3,2.9
1992,7,24.4,34.2,73.0,11.5,2.9
1992,8,-4.4,130.9,61.8,9.6,3.5
1992,9,21.6,80.3,70.8,16.6,1.2
1992,10,10.1,72.2,68.6,17.3,1.4
1992,11,0.2,54.6,67.0,13.3,17.0
1992,12,14.6,35.4,70.6,7.2,23.6
1993,1,12.0,109.7,81.0,13.4,30.0
1993,2,4.0,87.2,75.2,16.2,27.9
1993,3,10.7,46.3,69.1,10.6,35.6
1993,4,6.1,46.1,74.9,15.6,0.1
1993,5,11.1,74.9,79.0,15.0,1.0
1993,6,16.6,135.1,76.6,16.7,2.2
1993,7,25.9,77.2,72.3,15.4,0.0
1993,8,-2.4,39.9,68.8,12.1,0.0
1993,9,31.3,77.6,75.5,18.6,0.0
1993,10,-9.5,76.8,74.0,14.5,0.0
1993,11,8.5,4.1,76.5,14.9,17.0
1993,12,15.9,83.4,75.2,12.2,37.1
1994,1,12.8,78.1,77.2,13.7,30.5
1994,2,3.8,105.9,69.3,12.3,52.6
1994,3,7.9,140.5,78.6,14.5,21.6
1994,4,5.1,118.8,73.0,20.1,1.6
1994,5,4.1,76.9,82.4,10.9,2.2
1994,6,18.5,51.8,68.6,10.2,0.0
1994,7,13.6,162.2,80.7,19.4,3.1
1994,8,3.1,86.8,73.0,14.4,0.8
1994,9,19.0,85.4,68.7,13.0,2.3
1994,10,13.1,84.3,69.6,18.1,0.0
1994,11,18.1,90.9,70.4,13.2,39.3
1994,12,16.3,80.7,74.1,20.5,50.7
1995,1,1.7,67.8,74.6,17.0,23.4
1995,2,4.4,68.6,69.1,13.5,22.5
1995,3,17.5,84.0,71.9,21.5,26.1
1995,4,16.1,68.7,82.7,13.2,3.3
1995,5,9.8,63.6,80.6,17.2,0.0
1995,6,11.2,88.2,74.2,15.9,4.3
1995,7,22.8,77.4,72.2,18.9,0.0
1995,8,4.1,130.1,72.6,19.7,2.3
1995,9,15.5,5.5,75.1,15.1,0.3
1995,10,8.0,117.7,66.9,12.7,2.2
1995,11,7.8,122.4,70.7,16.4,0.0
1995,12,21.0,22.8,63.7,13.0,35.2
1996,1,18.3,74.7,74.0,21.0,15.2
1996,2,18.1,73.9,75.2,15.4,0.0
1996,3,23.1,42.8,69.6,13.9,32.7
1996,4,10.2,61.7,79.9,15.6,0.0
1996,5,16.8,51.7,65.9,11.0,0.5
1996,6,6.9,137.6,64.7,12.1,0.0
1996,7,13.2,113.1,73.1,18.6,0.0
1996,8,8.7,123.1,77.2,13.0,0.6
1996,9,11.0,106.7,80.4,11.9,5.8
1996,10,16.0,51.1,69.7,16.6,2.6
1996,11,1.8,69.3,77.4,18.6,26.1
1996,12,30.9,99.7,71.8,17.2,1.0
1997,1,-0.1,48.3,71.1,18.0,21.3
1997,2,-2.1,106.4,76.4,12.7,12.4
1997,3,21.6,77.8,75.3,10.7,57.6
1997,4,17.9,73.8,64.1,19.5,3.2
1997,5,16.2,106.3,79.4,14.0,2.4
1997,6,16.3,98.3,78.9,14.2,2.4
1997,7,9.9,74.2,68.9,19.0,1.9
1997,8,1.0,119.8,74.0,16.7,1.0
1997,9,10.8,52.6,74.5,16.4,2.3
1997,10,3.2,103.5,73.3,21.5,2.2
1997,11,19.8,102.8,69.2,13.1,13.9
1997,12,8.5,75.7,68.6,17.8,5.2
1998,1,1.7,94.8,71.9,15.2,15.8
1998,2,6.8,47.5,77.9,15.8,24.4
1998,3,14.1,112.7,74.7,19.6,18.6
1998,4,4.4,79.5,70.1,16.5,0.0
1998,5,1.8,69.3,75.9,16.6,1.3
1998,6,12.4,116.5,57.8,18.2,1.1
1998,7,12.4,63.9,77.7,13.9,1.3
1998,8,4.9,42.7,63.3,12.5,1.5
1998,9,5.3,38.3,70.2,11.9,0.6
1998,10,12.3,103.2,66.4,9.1,4.0
1998,11,-4.5,46.6,65.5,21.2,20.4
1998,12,-4.1,137.6,77.8,11.7,13.7
1999,1,2.8,22.5,69.7,14.3,29.8
1999,2,7.9,135.9,73.7,14.2,45.1
1999,3,13.1,91.3,71.8,15.9,0.0
1999,4,24.8,82.1,74.4,17.4,4.3
1999,5,18.6,68.7,72.4,17.6,1.0
1999,6,8.4,97.0,65.6,13.3,1.5
1999,7,9.8,83.9,77.0,14.5,0.0
1999,8,-0.0,118.1,69.5,15.8,0.0
1999,9,9.8,88.4,64.2,14.3,0.2
1999,10,7.1,89.5,69.9,19.8,0.4
1999,11,13.2,74.1,79.5,16.5,41.1
1999,12,1.7,83.3,76.3,17.2,25.3
